section,continent,country,group,supergroup/association,site,unit,shared?,name,intermediate detrital?,intermediate intrusive?,depositional?,height,depth,depth_adj,age,age_std,constraint type (with respect to section age),method,material,Reference,Include in sedimentation rate calculations?,Exclude?,notes
ML1809,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,0,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
Seward and Pistolet Groups,America,Canada,,Kaniapiskau Supergroup/Labrador Trough,,Chakonipau Formation,TRUE,Chakonipau DZ,FALSE,FALSE,FALSE,0,,,2241,9,max,,detrital zircons,Bekker et al. (2009),N,FALSE,Detrital zircons in stratigraphically lower Chakonipau Formation provide a maximum age for section. No analytical details available; age published in AGU abstract (Bekker et al. 2009).
Dashiqiao Formation,Asia,China,,Jiao-Liao-Ji Belt,,Gaojiayu Formation,TRUE,Gaojiayu,FALSE,FALSE,FALSE,-1,,,2153,5.5,max,U-Pb LA-ICP-MS,zircons from meta-felsic volcanic layer,Bi et al. (2018),N,FALSE,"Volcanic age for underlying Gaojiayu Formation. Analytical details not available (abstract in English, text in Chinese)."
Dashiqiao Formation,Asia,China,,Jiao-Liao-Ji Belt,,Liaohe Group intrusives,TRUE,Liaohe Group intrusive,FALSE,FALSE,FALSE,1101,,,2133,7,min,,igneous zircons from meta-mafic rock,Xu et al. (2018),N,FALSE,Crystallization age for intrusive meta-mafic unit. 
Guanmenshan Formation,Asia,China,,Fanhe Basin,,Daposhan Formation,TRUE,Daposhan,FALSE,FALSE,FALSE,0,,,2199,9.5,max,U-Pb LA-ICP-MS,detrital zircons from quartz sandstone,Cai et al. 2022,N,FALSE,Detrital age from the Daposhan Formation (stratigraphically lower than the Guanmenshan Formation) provides a maximum age for the section. 
Guanmenshan Formation,Asia,China,,Fanhe Basin,,Dolerite sill in Guanmenshan Formation,TRUE,Guanmenshan sill,FALSE,FALSE,FALSE,1470,,,2065,10,min,U-Pb LA-MC-ICP-MS,zircons from weakly metamorphosed dolerite sill,Cai et al. 2022,N,FALSE,"Crystallization age for dolerite sill intruding the Guanmenshan Formation. Cai et al. (2022) argue that this age likely also provides a minimum for the conformably overlying Tongjiajie Formation for three reasons: 1) dolerite sills emplaced in the Tongjiajie Formation have similar mineral compositions to those emplaced in the stratigraphically lower Guanmenshan and Kangzhuangzi Formations (and so were likely emplaced at the same time), 2) the contact between the Guanmenshan and Tongjiajie Formations is conformable, while there is a hiatus between the Tongjiajie Formation and the overlying Hutouling Formation, 3) the Tongjiajie Formation has a similar detrital zircon age distribution as the stratigraphically lower Daposhan Formation, but different from that of overlying formations. 

Note that the Hutuoling Formation (Zhang et al. 2024 includes a few samples from this formation) is interpreted as Mesoproterozoic (separated from the Paleoproterozoic succession by an unconformity); these samples have been excluded from the inference."
Hutuo Supergroup - Kong et al. (2011),Asia,China,Wutai Group,,Ekou Iron Mine,Baizhiyan Formation,FALSE,Baizhiyan Formation,FALSE,FALSE,TRUE,,,,2524,5,depositional,,zircons from andesite,"Wilde et al., 2004a",N,FALSE,"Several samples were dated from different formations within the Wutai Group, but all ages overlap within uncertainty (does not support a stratigraphic interpretation for the ages). Using age reported from same formation as the carbon isotope data (Baizhiyan Formation) as a depositional constraint. "
Hutuo Supergroup - Kong et al. (2011),Asia,China,Wutai Group,,Ekou Iron Mine,Baizhiyan Formation,FALSE,Baizhiyan max,FALSE,FALSE,FALSE,305,,,2524,5,max/depositional,,zircons from andesite,"Wilde et al., 2004a",N,FALSE,"Due to absence of alternative maximum age constraints, using as both maximum age for the entire Hutuo Supergroup and depositional age for the Baizhiyan Formation."
Hutuo Supergroup - Kong et al. (2011),Asia,China,Doucun Group,Hutuo Supergroup,,Sijizhuang Formation,TRUE,Sijizhuang,FALSE,FALSE,FALSE,4872,,,2140,7,max for Sijizhuang Formation and above,U-Pb SHRIMP,zircons from basaltic andesite,Du et al. (2010),N,FALSE,Depositional age for basaltic andesite at base of the Sijizhuang Formation provides a maximum age for that formation and all overlying units.
Hutuo Supergroup - Kong et al. (2011),Asia,China,Dongye Group,Hutuo Supergroup,Banlaoyao Village,Banlaoyao sill (intruding between the Nandaxian Fm and the Qingshucun Formation),TRUE,Banlaoyao sill,FALSE,TRUE,FALSE,5849,,,2057,12.5,min,U-Pb SIMS,intrusive meta-diabise sill,Peng et al. (2017),N,FALSE,
Hutuo Supergroup - Kong et al. (2011),Asia,China,Dongye Group,Hutuo Supergroup,,Jianancun Formation,TRUE,Jianancun DZ,TRUE,FALSE,FALSE,8149,,,2015,42,max (for top of formation),U-Pb MC-ICP-MS,detrital zircons,Liu et al. (2011),N,FALSE,Youngest detrital zircon age from top of the Jianancun Formation provides a maximum age for level sampled and above.
Hutuo Supergroup - Kong et al. (2011),Asia,China,Dongye Group,Hutuo Supergroup,,Hebiancun Formation,TRUE,Hebiancun DZ,TRUE,FALSE,FALSE,7812,,,2010,25,max,U-Pb MC-ICP-MS,detrital zircons,Liu et al. (2011),N,FALSE,Youngest detrital zircon age from the lower Hebiancun Formation provides a maximum age for the level sampled and above.
Hutuo Supergroup - Kong et al. (2011),Asia,China,,Hutuo Supergroup,,unmetamorphosed dikes intruding the North China craton (including all units of the Hutuo Supergroup),TRUE,NCC dike,FALSE,FALSE,FALSE,12980,,,1778,1.5,min,U-Pb SHRIMP,zircons from unmetamorphosed diabase dike,Peng et al. (2005),N,FALSE,
Hutuo Supergroup - She et al. (2016),Asia,China,Doucun Group,Hutuo Supergroup,,Sijizhuang Formation,TRUE,Sijizhuang,FALSE,FALSE,FALSE,2447,,,2140,7,max,U-Pb SHRIMP,zircons from basaltic andesite,Du et al. (2010),N,FALSE,Depositional age for basaltic andesite at base of the Sijizhuang Formation provides a maximum age for that formation and all overlying units.
Hutuo Supergroup - She et al. (2016),Asia,China,Dongye Group,Hutuo Supergroup,Banlaoyao Village,Banlaoyao sill (intruding between the Nandaxian Member of the Dashiling Formation and the Qingshucun Formation),TRUE,Banlaoyao sill,FALSE,TRUE,FALSE,3000,,,2057,12.5,min,U-Pb SIMS,intrusive meta-diabise sill,Peng et al. (2017),N,FALSE,
Hutuo Supergroup - She et al. (2016),Asia,China,Dongye Group,Hutuo Supergroup,,Jianancun Formation,TRUE,Jianancun DZ,TRUE,FALSE,FALSE,5829,,,2015,42,max (for top of formation),U-Pb MC-ICP-MS,detrital zircons,Liu et al. (2011),N,FALSE,Youngest detrital zircon age from top of the Jianancun Formation provides a maximum age for level sampled and above.
Hutuo Supergroup - She et al. (2016),Asia,China,Dongye Group,Hutuo Supergroup,,Hebiancun Formation,TRUE,Hebiancun DZ,TRUE,FALSE,FALSE,4470,,,2010,25,max,U-Pb MC-ICP-MS,detrital zircons,Liu et al. (2011),N,FALSE,Youngest detrital zircon age from the lower Hebiancun Formation provides a maximum age for the level sampled and above.
Hutuo Supergroup - She et al. (2016),Asia,China,,Hutuo Supergroup,,unmetamorphosed dikes intruding the North China craton (including all units of the Hutuo Supergroup),TRUE,NCC dike,FALSE,FALSE,FALSE,7434,,,1778,1.5,min,U-Pb SHRIMP,zircons from unmetamorphosed diabase dike,Peng et al. (2005),N,FALSE,
Hutuo Supergroup - Zhong and Ma (1997),Asia,China,Doucun Group,Hutuo Supergroup,,Sijizhuang Formation,TRUE,Sijizhuang,FALSE,FALSE,FALSE,0,,,2140,7,max,U-Pb SHRIMP,zircons from basaltic andesite,Du et al. (2010),N,FALSE,Depositional age for basaltic andesite at base of the Sijizhuang Formation provides a maximum age for that formation and all overlying units.
Hutuo Supergroup - Zhong and Ma (1997),Asia,China,Dongye Group,Hutuo Supergroup,Banlaoyao Village,Banlaoyao sill (intruding between the Nandaxian Fm and the Qingshucun Formation),TRUE,Banlaoyao sill,FALSE,TRUE,FALSE,133.5,,,2057,12.5,min,U-Pb SIMS,intrusive meta-diabise sill,Peng et al. (2017),N,FALSE,
Hutuo Supergroup - Zhong and Ma (1997),Asia,China,Dongye Group,Hutuo Supergroup,,Jianancun Formation,TRUE,Jianancun DZ,TRUE,FALSE,FALSE,234.5,,,2015,42,max (for top of formation),U-Pb MC-ICP-MS,detrital zircons,Liu et al. (2011),N,FALSE,Youngest detrital zircon age from top of the Jianancun Formation provides a maximum age for level sampled and above.
Hutuo Supergroup - Zhong and Ma (1997),Asia,China,Dongye Group,Hutuo Supergroup,,Hebiancun Formation,TRUE,Hebiancun DZ,TRUE,FALSE,FALSE,158.5,,,2010,25,max,U-Pb MC-ICP-MS,detrital zircons,Liu et al. (2011),N,FALSE,Youngest detrital zircon age from the lower Hebiancun Formation provides a maximum age for the level sampled and above.
Hutuo Supergroup - Zhong and Ma (1997),Asia,China,,Hutuo Supergroup,,unmetamorphosed dikes intruding the North China craton (including all units of the Hutuo Supergroup),TRUE,NCC dike,FALSE,FALSE,FALSE,508,,,1778,1.5,min,U-Pb SHRIMP,zircons from unmetamorphosed diabase dike,Peng et al. (2005),N,FALSE,
Liaohe Group,Asia,China,,Jiao-Liao-Ji Belt,,Langzishan Formation,FALSE,Langzishan detrital,FALSE,FALSE,FALSE,0,,,2205,10,max,U-Pb LA-ICP-MS,detrital zircons,Xu et al. (2020),N,FALSE,Detrital age for underlying formation provides a maximum depositional age for the section. 
Liaohe Group,Asia,China,,Jiao-Liao-Ji Belt,,Lieryu Formation,FALSE,Lieryu Formation volcanic,FALSE,FALSE,FALSE,400,,,2174,4,depositional,U-Pb SHRIMP,zircons from tuff,Xu et al. (2020b),N,FALSE,"Xu et al. (2020b) dates four tuffs with overlapping ages; using oldest age of 2174 +/- 8 Ma, which is the weighted mean age for two different samples (but all four ages are identical given weighted mean age uncertainties). In aggregate, the zircon data show a ""major age peak at c. 2170 Ma (N = 4, n = 88)"" which represents the crystallization age for the tuff. Position of age constraint within the Lieryu Formation is based on composite stratigraphic column in Figure 6 of Wang et al. (2024)."
Liaohe Group,Asia,China,,Jiao-Liao-Ji Belt,,Gaojiayu Formation,TRUE,Gaojiayu,FALSE,FALSE,FALSE,1650,,,2153,5.5,depositional,U-Pb LA-ICP-MS,zircons from meta-felsic volcanic layer,Bi et al. (2018),N,FALSE,"Analytical details not available (abstract in English, text in Chinese); position in section based on placement in Wang et al. (2024) stratigraphic column."
Liaohe Group,Asia,China,,Jiao-Liao-Ji Belt,,Liaohe Group intrusives,TRUE,Liaohe Group intrusive,FALSE,FALSE,FALSE,1950,,,2133,7,min,,igneous zircons from meta-mafic rock,Xu et al. (2018),N,FALSE,Crystallization age for intrusive meta-mafic unit. 
Northeastern Fanhe Basin,Asia,China,,Fanhe Basin,,Daposhan Formation,TRUE,Daposhan,FALSE,FALSE,FALSE,0,,,2199,9.5,max,U-Pb LA-ICP-MS,detrital zircons from quartz sandstone,Cai et al. 2022,N,FALSE,Detrital age from the Daposhan Formation (stratigraphically lowest unit in section) provides a maximum age for the entire section.
Northeastern Fanhe Basin,Asia,China,,Fanhe Basin,,Dolerite sill in Guanmenshan Formation,TRUE,Guanmenshan sill,FALSE,FALSE,FALSE,3785,,,2065,10,min,U-Pb LA-MC-ICP-MS,zircons from weakly metamorphosed dolerite sill,Cai et al. 2022,N,FALSE,"Crystallization age for dolerite sill intruding the Guanmenshan Formation. Cai et al. (2022) argue that this age likely also provides a minimum for the conformably overlying Tongjiajie Formation for three reasons: 1) dolerite sills emplaced in the Tongjiajie Formation have similar mineral compositions to those emplaced in the stratigraphically lower Guanmenshan and Kangzhuangzi Formations (and so were likely emplaced at the same time), 2) the contact between the Guanmenshan and Tongjiajie Formations is conformable, while there is a hiatus between the Tongjiajie Formation and the overlying Hutouling Formation, 3) the Tongjiajie Formation has a similar detrital zircon age distribution as the stratigraphically lower Daposhan Formation, but different from that of overlying formations. 

Note that the Hutuoling Formation (Zhang et al. 2024 includes a few samples from this formation) is interpreted as Mesoproterozoic (separated from the Paleoproterozoic succession by an unconformity); these samples have been excluded from the inference."
Southern Fanhe Basin,Asia,China,,Fanhe Basin,,Daposhan Formation,TRUE,Daposhan,FALSE,FALSE,FALSE,0,,,2199,9.5,max,U-Pb LA-ICP-MS,detrital zircons from quartz sandstone,Cai et al. 2022,N,FALSE,Detrital age from the Daposhan Formation (stratigraphically lowest unit in section) provides a maximum age for the entire section.
Southern Fanhe Basin,Asia,China,,Fanhe Basin,,Dolerite sill in Guanmenshan Formation,TRUE,Guanmenshan sill,FALSE,FALSE,FALSE,3156,,,2065,10,min,U-Pb LA-MC-ICP-MS,zircons from weakly metamorphosed dolerite sill,Cai et al. 2022,N,FALSE,"Crystallization age for dolerite sill intruding the Guanmenshan Formation. Cai et al. (2022) argue that this age likely also provides a minimum for the conformably overlying Tongjiajie Formation for three reasons: 1) dolerite sills emplaced in the Tongjiajie Formation have similar mineral compositions to those emplaced in the stratigraphically lower Guanmenshan and Kangzhuangzi Formations (and so were likely emplaced at the same time), 2) the contact between the Guanmenshan and Tongjiajie Formations is conformable, while there is a hiatus between the Tongjiajie Formation and the overlying Hutouling Formation, 3) the Tongjiajie Formation has a similar detrital zircon age distribution as the stratigraphically lower Daposhan Formation, but different from that of overlying formations. 

Note that the Hutuoling Formation (Zhang et al. 2024 includes a few samples from this formation) is interpreted as Mesoproterozoic (separated from the Paleoproterozoic succession by an unconformity); these samples have been excluded from the inference."
Babarmal,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Babarmal,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,83,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Bari_Talab,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Bari_Talab,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,22,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
BD (Umra-Jampa),Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
BD (Umra-Jampa),Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,10,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Dakankotra,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Dakankotra,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,152,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Dugocha,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Dugocha,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,441,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Ghasiar,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Ghasiar,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,391,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Ghasiar 2,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Ghasiar 2,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,46,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
GU (Matoon),Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,0,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
GU (Matoon),Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,43,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Iswal,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Iswal,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,60,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Jhabua,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Jhabua,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,54,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Jhamarkotra Mine,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Jhamarkotra Mine,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,816,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Kalaishpuri,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,0,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Kalaishpuri,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,256,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Kalaishpuri 2,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,0,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Kalaishpuri 2,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,466,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Kaleda,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Kaleda,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,151,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Kanpur,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Kanpur,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,221,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Karouli,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Karouli,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,1501,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Kotharia,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Kotharia,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,301,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
MU (Matoon),Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
MU (Matoon),Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,15,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Negadia,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Negadia,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,551,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Paloda,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Paloda,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,622,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
